"","cancion","popularidad","artista","artista_completo","album","top_pais","puesto","bailabilidad","energia","nota_musical","volumen","modo","hablado","acustico","instrumental","en_vivo","positividad","tempo","duracion","tiempo_compas","fecha"
"26","Bubalu",81,"Becky G","Becky G feat. Prince Royce feat. DJ Luian feat. Mambo Kingz feat. Anuel Aa","Bubalu","El Top 50 de Uruguay",26,0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,228493,4,"2018-11-06"
"27","7 rings",89,"Ariana Grande","Ariana Grande","7 rings","El Top 50 de Uruguay",27,0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,178640,4,"2019-01-18"
"28","Tan Bien (feat. Agus Padilla)",68,"Lit Killah","Lit Killah feat. Agus Padilla","Tan Bien (feat. Agus Padilla)","El Top 50 de Uruguay",28,0.784,0.761,10,-4.253,0,0.0343,0.108,5.05e-05,0.05,0.385,105.005,204989,4,"2018-11-29"
"29","Ta To Gucci (Remix)",78,"Cauty","Cauty feat. Brytiago feat. Darell feat. Cosculluela feat. Rafa Pabön feat. Chencho Corleone","Cauty VS Young Cauty","El Top 50 de Uruguay",29,0.73,0.648,1,-6.405,0,0.378,0.383,0.000112,0.103,0.675,187.991,304859,4,"2018-12-07"
"30","Cuando Te Besé",81,"Becky G","Becky G feat. Paulo Londra","Cuando Te Besé","El Top 50 de Uruguay",30,0.772,0.732,9,-3.713,0,0.213,0.307,5.14e-06,0.106,0.295,100.048,254383,4,"2018-08-02"
"31","Solo de Mi",74,"Bad Bunny","Bad Bunny","X 100PRE","El Top 50 de Uruguay",31,0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,197968,4,"2018-12-23"
"32","Sola",77,"Manuel Turizo","Manuel Turizo","Sola","El Top 50 de Uruguay",32,0.704,0.706,11,-5.233,0,0.111,0.483,0,0.0965,0.856,92.965,195044,4,"2018-11-09"
"33","PPP",78,"Kevin Roldan","Kevin Roldan","PPP","El Top 50 de Uruguay",33,0.786,0.65,4,-6.839,1,0.109,0.363,8.17e-05,0.122,0.712,92.975,129040,4,"2018-09-07"
"34","Vaina Loca",83,"Ozuna","Ozuna feat. Manuel Turizo","Aura","El Top 50 de Uruguay",34,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4,"2018-08-24"
"35","Amigos Con Derechos",79,"Reik","Reik feat. Maluma","Amigos Con Derechos","El Top 50 de Uruguay",35,0.686,0.807,1,-3.324,1,0.0613,0.0481,0,0.0652,0.63,183.971,227476,4,"2018-08-31"
"36","Dile la Verdad",77,"The Rudeboyz","The Rudeboyz feat. Jowell & Randy feat. Manuel Turizo","Dile la Verdad","El Top 50 de Uruguay",36,0.886,0.701,7,-3.504,1,0.141,0.292,1.16e-05,0.0574,0.823,103.002,219029,4,"2019-01-11"
"37","Me Vas a Extrañar - En Vivo",70,"Damas Gratis","Damas Gratis feat. Viru Kumbieron","Me Vas a Extrañar (En Vivo)","El Top 50 de Uruguay",37,0.419,0.809,11,-4.596,1,0.0357,0.323,0,0.699,0.635,88.418,238528,4,"2018-09-07"
