"","cancion_nombre","cancion_popularidad","cancion_artista","cancion_artista_completo","cancion_album","cancion_numero","pais_nombre","feature_bailabilidad","feature_energia","feature_clave","feature_fuerza","feature_modo","feature_hablado","feature_acustico","feature_instrumental","feature_en_vivo","feature_positividad","feature_tempo","feature_duracion_ms","feature_tiempo_compas","album_fecha"
"100","Te Boté - Remix",83,"Nio Garcia","Nio Garcia feat. Casper Magico feat. Bad Bunny feat. Darell feat. Ozuna feat. Nicky Jam","Te Boté (Remix)",48,"la Republica Dominicana",0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920,4,"2018-04-13"
"101","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",88,"DJ Snake","DJ Snake feat. Selena Gomez feat. Ozuna feat. Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",49,"la Republica Dominicana",0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4,"2018-09-28"
"102","Estamos Bien",76,"Bad Bunny","Bad Bunny","X 100PRE",50,"la Republica Dominicana",0.759,0.536,9,-6.663,0,0.173,0.821,4.57e-06,0.107,0.439,119.883,208080,4,"2018-12-23"
"103","Con Calma",95,"Daddy Yankee","Daddy Yankee feat. Snow","Con Calma",1,"Perú",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4,"2019-01-24"
"104","Pa Mí - Remix",87,"Dalex","Dalex feat. Rafa Pabön feat. Khea feat. Sech feat. Cazzu feat. Feid feat. Lenny Tavárez","Pa Mí (Remix)",2,"Perú",0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960,4,"2019-02-07"
"105","Secreto",90,"Anuel Aa","Anuel Aa feat. Karol G","Secreto",3,"Perú",0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4,"2019-01-15"
"106","Desconocidos",87,"Mau y Ricky","Mau y Ricky feat. Manuel Turizo feat. Camilo","Desconocidos",4,"Perú",0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-06,0.249,0.709,174.006,204453,4,"2018-10-12"
"107","HP",91,"Maluma","Maluma","HP",5,"Perú",0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436,4,"2019-03-01"
"108","Te Vi",88,"Piso 21","Piso 21 feat. Micro Tdh","Te Vi",6,"Perú",0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,231848,4,"2018-12-14"
"109","Calma - Remix",91,"Pedro Capó","Pedro Capó feat. Farruko","Calma (Remix)",7,"Perú",0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4,"2018-10-05"
"110","Amanece",87,"Anuel Aa","Anuel Aa feat. Haze","Amanece",8,"Perú",0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,190005,4,"2018-12-14"
"111","Un Año",85,"Sebastian Yatra","Sebastian Yatra feat. Reik","Un Año",9,"Perú",0.771,0.382,1,-6.808,0,0.0514,0.148,0,0.104,0.535,94.931,164440,4,"2019-01-18"
"112","Adan y Eva",87,"Paulo Londra","Paulo Londra","Adan y Eva",10,"Perú",0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0676,0.72,171.993,258639,4,"2018-11-05"
"113","Ella Quiere Beber - Remix",86,"Anuel Aa","Anuel Aa feat. Romeo Santos","Ella Quiere Beber (Remix)",11,"Perú",0.75,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.697,95.239,219357,4,"2018-11-02"
"114","Créeme",83,"Karol G","Karol G feat. Maluma","Créeme",12,"Perú",0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,212493,4,"2018-11-02"
