"","cancion_nombre","cancion_popularidad","cancion_artista","cancion_artista_completo","cancion_album","cancion_numero","pais_nombre","feature_bailabilidad","feature_energia","feature_clave","feature_fuerza","feature_modo","feature_hablado","feature_acustico","feature_instrumental","feature_en_vivo","feature_positividad","feature_tempo","feature_duracion_ms","feature_tiempo_compas","album_fecha"
"59","Tiempo",44,"Albert Gonzalez","Albert Gonzalez feat. J.Beren feat. Kira Brown","Tiempo",7,"la Republica Dominicana",0.88,0.6,0,-8.21,1,0.0924,0.282,8.94e-05,0.0872,0.535,95.015,192000,4,"2019-04-05"
"60","Secreto",89,"Anuel Aa","Anuel Aa feat. Karol G","Secreto",8,"la Republica Dominicana",0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4,"2019-01-15"
"61","Caro",79,"Bad Bunny","Bad Bunny","X 100PRE",9,"la Republica Dominicana",0.651,0.575,0,-7.739,1,0.299,0.627,0.000202,0.0961,0.248,160.007,229456,4,"2018-12-23"
"62","Calma - Remix",91,"Pedro Capó","Pedro Capó feat. Farruko","Calma (Remix)",10,"la Republica Dominicana",0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4,"2018-10-05"
"63","Tuyo",39,"J.Beren","J.Beren","Tuyo",11,"la Republica Dominicana",0.811,0.881,7,-2.757,0,0.0405,0.183,0.00148,0.0651,0.649,99.987,175800,4,"2019-02-22"
"64","La Romana",80,"Bad Bunny","Bad Bunny feat. El Alfa","X 100PRE",12,"la Republica Dominicana",0.655,0.725,0,-5.497,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,300579,4,"2018-12-23"
"65","Hope",37,"Mike Wit","Mike Wit","Hope",13,"la Republica Dominicana",0.694,0.581,6,-7.382,1,0.0496,0.843,2.12e-06,0.0823,0.664,107.059,172722,4,"2019-04-12"
"66","Baila Baila Baila",87,"Ozuna","Ozuna","Baila Baila Baila",14,"la Republica Dominicana",0.816,0.754,11,-2.75,0,0.111,0.0361,0,0.217,0.533,99.966,158400,4,"2019-01-05"
"67","Si Estuviésemos Juntos",81,"Bad Bunny","Bad Bunny","X 100PRE",15,"la Republica Dominicana",0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,169248,4,"2018-12-23"
"68","Esclavo de Tus Besos",86,"Manuel Turizo","Manuel Turizo feat. Ozuna","Esclavo de Tus Besos",16,"la Republica Dominicana",0.805,0.671,5,-5.316,1,0.111,0.113,0,0.278,0.522,90.979,219302,4,"2019-02-15"
"69","Amanece",86,"Anuel Aa","Anuel Aa feat. Haze","Amanece",17,"la Republica Dominicana",0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,190005,4,"2018-12-14"
"70","Te Robaré",91,"Nicky Jam","Nicky Jam feat. Ozuna","Te Robaré",18,"la Republica Dominicana",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,201818,4,"2019-03-22"
"71","Lo Prohibido",37,"Mike Wit","Mike Wit feat. D3llano feat. Life After Party feat. J. Parker","Lo Prohibido",19,"la Republica Dominicana",0.633,0.677,7,-8.124,1,0.29,0.207,0,0.12,0.562,89.899,214667,4,"2018-08-10"
"72","Solo de Mi",74,"Bad Bunny","Bad Bunny","X 100PRE",20,"la Republica Dominicana",0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,197968,4,"2018-12-23"
"73","Aullando",86,"Wisin & Yandel","Wisin & Yandel feat. Romeo Santos","Los Campeones del Pueblo ""The Big Leagues""",21,"la Republica Dominicana",0.8,0.74,10,-4.52,0,0.0479,0.184,0,0.0558,0.775,90.035,226200,4,"2018-12-14"
"74","NI BIEN NI MAL",82,"Bad Bunny","Bad Bunny","X 100PRE",22,"la Republica Dominicana",0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,236216,4,"2018-12-23"
"75","MIA (feat. Drake)",87,"Bad Bunny","Bad Bunny feat. Drake","MIA (feat. Drake)",23,"la Republica Dominicana",0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4,"2018-10-11"
"76","Pomposo (Remix) [feat. Yomel el Meloso, Shadow Blow & Bulova]",66,"El Alfa","El Alfa feat. Jowell & Randy feat. Zion & Lennox feat. Bulova feat. Shadow Blow feat. Yomel El Meloso","Pomposo (Remix) [feat. Yomel el Meloso, Shadow Blow & Bulova]",24,"la Republica Dominicana",0.871,0.931,8,-3.647,1,0.0503,0.305,0.00275,0.232,0.767,125.03,225600,4,"2019-02-22"
"77","Desconocidos",85,"Mau y Ricky","Mau y Ricky feat. Manuel Turizo feat. Camilo","Desconocidos",25,"la Republica Dominicana",0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-06,0.249,0.709,174.006,204453,4,"2018-10-12"
"78","Ella Quiere Beber - Remix",85,"Anuel Aa","Anuel Aa feat. Romeo Santos","Ella Quiere Beber (Remix)",26,"la Republica Dominicana",0.75,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.697,95.239,219357,4,"2018-11-02"
"79","Un Año",84,"Sebastian Yatra","Sebastian Yatra feat. Reik","Un Año",27,"la Republica Dominicana",0.771,0.382,1,-6.808,0,0.0514,0.148,0,0.104,0.535,94.931,164440,4,"2019-01-18"
"80","Adictiva",83,"Daddy Yankee","Daddy Yankee feat. Anuel Aa","Adictiva",28,"la Republica Dominicana",0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853,4,"2018-11-09"
"81","Bubalu",80,"Becky G","Becky G feat. Prince Royce feat. DJ Luian feat. Mambo Kingz feat. Anuel Aa","Bubalu",29,"la Republica Dominicana",0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,228493,4,"2018-11-06"
"82","Que Le De",83,"Rauw Alejandro","Rauw Alejandro feat. Nicky Jam","Que Le De",30,"la Republica Dominicana",0.77,0.75,0,-2.715,1,0.0785,0.19,0,0.0618,0.609,99.997,225600,4,"2019-01-25"
"83","Otra Noche en Miami",75,"Bad Bunny","Bad Bunny","X 100PRE",31,"la Republica Dominicana",0.514,0.646,1,-8.833,1,0.275,0.197,2.3e-05,0.0958,0.297,88.661,233128,4,"2018-12-23"
"84","Con Altura",91,"ROSALÍA","ROSALÍA feat. J Balvin feat. El Guincho","Con Altura",32,"la Republica Dominicana",0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,161627,4,"2019-03-28"
"85","200 Mph",76,"Bad Bunny","Bad Bunny feat. Diplo feat. Nitti Gritti","X 100PRE",33,"la Republica Dominicana",0.85,0.5,8,-6.708,1,0.0665,0.0139,0.000384,0.0947,0.816,160.02,170509,4,"2018-12-23"
